code,happiness,gdp,population,inflation,unemployment,alcohol
AGO,,1391950000000.0,19625000.0,105.594,,6.1999998093
DZA,5.46356678,6157910000000.0,36717000.0,142.39,9.971,10.0
EGY,4.668916225,583957000000.0,80400000.0,231.654,12.061,9.0
BGD,4.858481407,5660420000000.0,152862000.0,160.094,,4.5
QAT,6.849652767,321074000000.0,1708000.0,233.717,,0.400000006
NAM,,44699000000.0,2138000.0,204.954,,19.5
BGR,3.912276268,52922000000.0,7327000.0,141.21,11.35,10.3000001907
BOL,5.780620098,34272000000.0,10629000.0,130.233,6.5,6.0
GHA,4.606251717,27892000000.0,24304000.0,521.453,,4.1999998093
PAK,5.786132813,9123770000000.0,175305000.0,146.451,5.95,5.5999999046
PAN,7.3214674,23274000000.0,3590000.0,155.569,4.66,6.5
JOR,5.569942474,10244000000.0,6253000.0,129.957,12.9,12.5
LBR,4.196063042,757000000.0,3876000.0,280.358,,3.7000000477
LBY,,18053000000.0,5943000.0,150.45,,17.1000003815
MYS,5.580281734,711350000000.0,28964000.0,103.192,3.05,3.4000000954
TZA,3.229129076,17913800000000.0,43880000.0,213.95,,2.9000000954
BWA,3.553020239,70610000000.0,2031000.0000000002,246.402,,17.8999996185
KHM,4.141072273,32596890000000.0,15103000.0,143.835,,0.400000006
PRY,5.841174126,23933470000000.0,6562000.0,122.192,5.6,5.6999998093
SAU,6.307098389,1158550000000.0,28376000.0,119.0,5.772,5.5999999046
LBN,5.031899452,45162010000000.0,4383000.0,121.148,,6.1999998093
SVN,6.082555294,24369000000.0,2049999.9999999998,117.308,8.208,7.1999998093
BFA,4.035560608,3530060000000.0,16000000.0,103.032,,3.2999999523
CHE,,541938000000.0,7870000.0,99.963,2.843,4.5
MRT,4.772306919,380851000000.0,3543000.0,140.441,,10.1000003815
HRV,5.595575333,272262999999.99997,4281000.0,102.261,13.584,11.6000003815
CHL,6.63565588,103839600000000.0,17248000.0,95.242,7.119,8.1000003815
CHN,4.652736664,15456400000000.0,1347350000.0,261.183,4.1,4.1999998093
JAM,,734535000000.0,2755000.0,326.705,12.6,12.3999996185
GIN,,8335959999999.999,10589000.0,857.5,,6.3000001907
FIN,7.393264294,161399000000.0,5401000.0,114.16,7.775,8.3999996185
URY,6.062010765,599521000000.0,3369000.0,105.183,5.992,6.8000001907
THA,6.216702938,4599660000000.0,67584000.0,100.003,0.658,1.0
NPL,4.349675179,639695000000.0,27156000.0,152.733,,2.5
MAR,4.383247375,666725000000.0,32186999.999999996,109.081,8.912,9.1000003815
YEM,4.35031271,340384000000.0,25130000.0,337.367,,17.7999992371
PHL,4.941514015,5909000000000.0,94200000.0,126.133,7.025,7.4000000954
ZAF,4.652428627,1909340000000.0,51580000.0,187.721,24.8,24.7000007629
NIC,5.68669939,139206000000.0,5997000.0,150.293,5.929,8.0
ROU,4.909165859,335631000000.0,21384000.0,105.795,7.4,7.0
SYR,4.464707851,-1.0,-1.0,-1.0,-1.0,8.3999996185
MLT,5.77387476,5594000000.0,416000.0,115.189,6.483,6.8000001907
KAZ,5.514286518,15494770000000.0,16674000.0,246.291,5.4,5.8000001907
SUR,,9490000000.0,540000.0,302.87,8.014,7.5999999046
BEN,,2546500000000.0,9780000.0,105.397,,1.0
NGA,4.760275841,11870590000000.0,160342000.0,120.733,23.9,7.3000001907
BEL,6.853514194,369258000000.0,11001000.0,115.138,7.25,8.3000001907
TGO,,1196450000000.0,6472000.0,110.17,,6.3000001907
DEU,6.724531174,2451180000000.0,80328000.0,111.133,5.95,7.0
LKA,3.976905107,2863690000000.0,20541000.0,151.467,4.1,4.9000000954
GBR,7.029364109,1502220000000.0,63285000.0,119.608,8.1,7.8000001907
MWI,,670425000000.0,16166000.0,332.606,,6.5
CRI,7.271053791,2277430000000.0,4592000.0,146.833,7.659,8.8999996185
CMR,4.554256916,9563280000000.0,20934000.0,222.067,,4.0999999046
NER,4.101016045,2047160000000.0,15618000.0,132.41,,2.4000000954
HUN,4.725132465,22110770000000.0,9986000.0,135.121,10.934,11.1999998093
TKM,,33575000000.000004,5526000.0,329.744,,9.1000003815
TTO,,86731000000.0,1333000.0,207.071,5.0,5.9000000954
NLD,7.501875877,554453000000.0,16693000.000000002,110.225,4.448,4.4000000954
Country_code,,,,,,
TCD,3.742871046,4447690000000.0,10478000.0,118.992,,5.9000000954
GEO,4.101837158,11792000000.0,4469000.0,263.812,15.062,16.2999992371
MNE,5.455030441,2536000000.0,621000.0,409.789,,19.7000007629
BLZ,,2514000000.0,337000.0,130.263,14.933,13.1999998093
MMR,,42228500000000.0,62411000.0,1672.34,4.02,0.8000000119
AFG,4.75838089,386368000000.0,29105000.0,103.176,,8.1000003815
BDI,,1570330000000.0,8569000.0,1018.86,,1.6000000238
BLR,5.525923252,156290500000000.0,9481000.0,248.403,0.6,0.6999999881
GRC,5.839558601,179998000000.0,11123000.0,121.11,17.653,12.6999998093
ZWE,4.681569576,10167000000.0,12653000.0,58.097,,6.1999998093
RWA,,2531910000000.0,10208000.0,109.633,,2.5999999046
TJK,4.380636215,172000000.0,7801000.0,964.032,,11.5
PSE,4.702603817,,,,,23.7000007629
IND,4.989277363,56330500000000.0,1210980000.0,198.773,,3.5999999046
IRL,7.257389545,162600000000.0,4575000.0,106.633,14.625,13.8999996185
BTN,,47375000000.0,738000.0,868.241,3.1,3.2999999523
VNM,5.295780659,2292483370000000.0,87840000.0,198.341,4.513,2.5999999046
NOR,,2751860000000.0,4973000.0,130.425,3.28,3.5
CZE,6.249617577,3621910000000.0,10487000.0,117.142,6.711,7.3000001907
HND,5.866131306,165958000000.0,7777000.0,235.108,5.03,4.8000001907
MUS,,187150000000.0,1289000.0,187.227,7.9,7.6999998093
DOM,4.735021114,385664000000.0,10051000.0,371.666,5.783,12.3999996185
LUX,7.097251892,33347000000.0,519000.0,117.323,5.6,4.4000000954
ISR,7.358916283,905847000000.0,7536000.0,98.344,7.05,8.5
PER,5.612785339,224495000000.0,30009000.0,104.951,7.727,4.0
IDN,5.457299232,2464566100000000.0,241030000.0,96.171,6.56,7.0999999046
COD,,7933500000000.0,72571000.0,2653.62,,3.7000000477
COG,,1428940000000.0,3977000.0,122.448,,14.6000003815
ISL,,870800000000.0,318000.0,211.633,7.427,7.5999999046
ETH,,466648000000.0,84734000.0,380.324,,5.1999998093
COM,3.81219101,134893000000.0,680000.0,160.649,,20.1000003815
COL,6.40811348,452815000000000.0,46052000.0,107.805,10.842,11.8000001907
PRT,5.094525814,160916000000.0,10651000.0,112.723,12.739,10.8000001907
MDA,5.589736462,10066000000.0,3560000.0,36089.71,6.7,7.4000000954
MDG,,6956960000000.0,21851000.0,289.95,,3.7999999523
ECU,5.838051319,60883000000.0,15266000.0,133.006,5.998,5.0
SEN,4.372156143,5084130000000.0,13331000.0,102.887,,9.1999998093
SRB,4.461304188,2927060000000.0,7234000.0,153.284,24.4,19.2000007629
FRA,6.797901154,1808570000000.0,63070000.0,111.281,9.6,9.3000001907
LTU,5.065824986,80918000000.0,3028000.0,133.902,15.389,17.7999992371
UGA,4.192882061,22221550000000.0,34509000.0,172.287,,3.0999999046
ZMB,,18673000000.0,13634000.0,115.13,,10.8000001907
TWN,6.228530884,14810740000000.0,23225000.0,100.002,4.39,
GTM,6.289748669,207931000000.0,14736000.0,104.23,,3.7000000477
DNK,7.770515442,1556610000000.0,5561000.0,125.808,7.567,7.5
UKR,5.057561398,687232000000.0,45598000.0,33678998.05,7.856,8.1000003815
AUS,7.450047016,1456090000000.0,22520000.0,99.275,5.083,5.1999998093
AUT,7.302678585,269201000000.00003,8421000.0,113.42,4.15,4.8000001907
VEN,7.47845459,58138000000.0,29072000.0,238.542,8.204,8.3999996185
KEN,4.255859375,1514200000000.0,42028000.0,224.036,,12.1999998093
LAO,,34033739999999.996,6521000.0,205.154,,1.3999999762
TUR,5.490347385,115175000000.0,73950000.0,189.946,9.792,10.6999998093
ALB,5.268936634,664778000000.0,2843000.0,110.746,13.3,14.1999998093
ITA,6.354238033,1424750000000.0,59365000.0,113.767,8.408,8.3999996185
TUN,5.130520821,51126000000.0,10674000.0,126.491,18.3,13.0
RUS,5.384773254,41479890000000.0,142900000.0,1009.74,6.5,7.3000001907
MEX,6.802388668,12764450000000.0,115685000.0,101.047,5.223,5.3000001907
BRA,6.837331295,1142100000000.0,194947000.0,21884097039589.6,5.983,8.5
CIV,,7879560000000.0,22687000.0,139.621,,9.1999998093
MKD,4.180202007,361714000000.0,2061999.9999999998,104.689,31.375,32.0
USA,7.16361618,15052380000000.0,311941000.0,224.932,8.933,9.6000003815
SWE,7.496018887,3517070000000.0,9483000.0,99.119,7.767,8.6000003815
AZE,4.218610764,21293000000.0,9111000.0,253.263,6.048,5.5999999046
GNB,,369074000000.0,1547000.0,104.442,,6.1999998093
CAN,7.650346279,1633640000000.0,34303000.0,119.842,7.442,8.1000003815
KOR,6.116024494,1082095500000000.0,49779000.0,104.008,3.408,3.7000000477
SVK,6.052223206,63825000000.0,5392000.0,116.79,13.683,14.3999996185
CYP,6.386546135,15172000000.0,862000.0,115.938,7.917,6.3000001907
BIH,4.66851759,25117000000.0,3890000.0,140.37,27.6,27.2000007629
SGP,6.531401634,306071000000.0,5184000.0,108.191,2.025,3.0999999046
UZB,5.095342159,773699000000.0,29100000.0,2362.94,,9.1000003815
POL,5.887029648,1293820000000.0,38530000.0,161.581,9.631,9.6000003815
KWT,6.798151016,19245000000.0,3682000.0,151.983,2.072,1.7999999523
GAB,,4551440000000.0,1518000.0,114.086,,20.3999996185
EST,,12243000000.0,1340000.0,133.395,12.325,16.7000007629
ESP,6.188262463,1044520000000.0,46736000.0,116.348,21.65,19.8999996185
IRQ,5.065462112,63650400000000.0,32665000.0,132.067,,15.1999998093
SLV,6.739911079,9277000000.0,6260000.0,106.278,5.429,7.0
MLI,3.762305021,1762800000000.0,15850000.0,136.617,,7.3000001907
LVA,,13463000000.0,2075000.0000000002,143.733,16.203,19.5
IRN,,556570000000000.0,75150000.0,100.008,12.3,13.5
SSD,,35540000000.0,9897000.0,109.546,,-1.0
SLE,4.133955956,7323580000000.0,5865000.0,1485.28,,3.0
NZL,7.223756313,143431000000.0,4411000.0,135.096,6.5,6.0999999046
JPN,6.056752682,510044500000000.0,127896000.0,99.725,4.567,5.0999999046
KGZ,4.996410847,33339000000.0,5532000.0,237.56,7.921,8.6000003815
ARE,7.097455502,982725000000.0,8512000.0,245.019,,4.0999999046
ARG,6.441067219,459571000000.0,40570000.0,292.628,7.15,7.6999998093
SDN,4.435159683,101631000000.0,32661000.0,169.661,12.033,13.0
BHR,5.936869144,9871000000.0,1129000.0,111.577,4.0,1.1000000238
ARM,4.367811203,2837270000000.0,3274000.0,242.112,19.0,19.0
