code,gdp,population,inflation,unemployment,alcohol
AGO,4.360249996,1523610000000.0,20820000.0,126.681,,
DZA,5.604595661,6533220000000.0,37900000.0,160.095,9.829,
EGY,4.204156876,609412000000.0,84150000.0,269.095,13.0,
BGD,4.724443913,6353210000000.0,156298000.0,182.888,,
QAT,6.611298561,362045000000.0,2020000.0,245.377,,
NAM,-1.0,48966000000.0,2174000.0,231.84,,
BGR,4.222297192,53691000000.0,7238000.0,145.137,13.039,
BOL,6.018894672,38497000000.0,11037000.0,143.925,6.353,
GHA,5.057261944,31739000000.0,25563000.0,635.606,,
PAK,5.131565094,9866550000000.0,182589000.0,174.533,6.7,
PAN,6.859835625,27851000000.0,3721000.0,171.056,4.5,
JOR,5.131996155,10857000000.0,6544000.0,143.428,12.2,
LBR,-1.0,885000000.0,4081000.0000000005,322.208,,
LBY,5.754394054,33450000000.000004,6122000.0,163.725,,
MYS,5.914283752,786694000000.0,29620000.0,107.117,3.1,
TZA,4.006897449,20489750000000.0,46277000.0,267.715,,
BWA,4.835938931,76457000000.0,2079000.0000000002,280.233,,
KHM,3.898706913,37427230000000.0,15407000.0,152.414,,
PRY,5.820058346,26710180000000.0,6795000.0,130.083,5.4,
SAU,6.396359444,1272450000000.0,29994000.0,126.692,5.5,
LBN,4.572566986,46297830000000.0,4467000.0,132.303,,
SVN,6.062891006,23486000000.0,2059000.0000000002,122.325,10.13,
BFA,3.95500803,4108479999999.9995,16800000.0,109.104,,
CHE,7.776208878,558376000000.0,8003000.0,99.049,3.158,
MRT,4.673203945,434520000000.0,3715000.0,153.41,,
HRV,6.027634621,264492000000.00003,4281000.0,108.083,16.462,
CHL,6.599128723,114125810000000.0,17557000.0,99.864,5.932,
CHN,5.094917297,17915640000000.0,1360760000.0,275.164,4.1,
JAM,-1.0,734627000000.0,2783000.0,382.034,14.9,
GIN,3.651554823,8874320000000.0,11125000.0,1106.24,,
FIN,7.420209408,157567000000.0,5451000.0,120.38,8.142,
URY,6.449728489,649309000000.0,3392000.0,123.451,6.3,
THA,6.300235271,5038840000000.0,68229000.0,105.269,0.725,
NPL,4.233244896,695203000000.0,27923000.0,181.742,,
MAR,4.969656467,715788000000.0,32853000.0,112.563,9.235,
YEM,4.060600758,363850000000.0,26660000.0,411.93,,
PHL,5.001965046,6763770000000.0,97484000.0,133.95,7.1,
ZAF,5.133887768,1993430000000.0,52982000.0,209.741,24.742,
NIC,5.448006153,152602000000.0,6127000.0,173.028,6.163,
ROU,5.166874886,349704000000.0,21285000.0,113.703,7.288,
SYR,3.164491177,-1.0,-1.0,-1.0,-1.0,
MLT,5.962872028,5778000000.0,417000.0,120.073,6.492,
KAZ,5.759469509,17237800000000.0,17157000.0,273.991,5.2,
SUR,6.269286633,10411000000.0,547000.0,324.152,8.5,
BEN,3.193468809,2835320000000.0,10321000.0,113.593,,
NGA,5.492954254,13444740000000.0,169282000.0,146.967,-1.0,
BEL,6.935122013,369672000000.0,11162000.0,119.573,8.4,
TGO,-1.0,1338520000000.0,6818000.0,115.339,,
DEU,6.702362061,2486430000000.0,80800000.0,115.317,5.283,
LKA,4.224593163,3267440000000.0,20822000.0,174.15,4.0,
GBR,6.880784035,1532430000000.0,64087000.0,126.125,7.604,
MWI,4.279269695,717012000000.0,17111000.0,515.113,,
CRI,7.272250175,2478090000000.0,4756000.0,161.462,9.0,
CMR,4.244634151,10466090000000.0,21994000.0,232.018,,
NER,3.798088312,2354310000000.0,16601000.0,136.076,,
HUN,4.683358192,21984680000000.0,9879000.0,145.296,10.23,
TKM,5.463827133,41086000000.0,5704000.0,370.355,,
